model,mae,rmse,r2
GradientBoostingRegressor,2407.2875676908857,4332.102864534487,0.8791158224059153
RandomForestRegressor,2523.8392444669494,4600.688489093721,0.8636617873119237
ExtraTreesRegressor,2471.993423063492,4914.506362909061,0.844427889625923
HistGradientBoostingRegressor,3019.3974805441,5024.526254904097,0.8373844098844805
